"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0005615","extracellular space",1059,11,2.23,2,6.4e-06,6.4e-06,"C1qa,C1qb,C1qc,Cd74,Ctss,Fndc4,Lyz2,Sema7a,Snca,Tac1,Wfdc17"
"2","GO:0005581","collagen trimer",74,3,0.16,3,5e-04,5e-04,"C1qa,C1qb,C1qc"
"3","GO:0005640","nuclear outer membrane",16,2,0.03,4,0.00051,0.00051,"Ptgs2,Snca"
"4","GO:0005791","rough endoplasmic reticulum",85,3,0.18,5,0.00075,0.00075,"Crhr2,Lyz2,Snca"
"5","GO:0009986","cell surface",745,5,1.57,7,0.01884,0.01884,"Cd74,Crhr2,Ctss,Fcer1g,Sema7a"
"6","GO:0045335","phagocytic vesicle",102,2,0.21,8,0.0194,0.0194,"Ctss,Mpeg1"
"7","GO:0070852","cell body fiber",11,1,0.02,9,0.0229,0.0229,"Crhr2"
"8","GO:0000137","Golgi cis cisterna",12,1,0.03,10,0.02496,0.02496,"Lyz2"
"9","GO:0009897","external side of plasma membrane",307,3,0.65,11,0.02631,0.02631,"Cd74,Fcer1g,Sema7a"
"10","GO:0031091","platelet alpha granule",13,1,0.03,12,0.02701,0.02701,"Snca"
"11","GO:0001650","fibrillar center",122,2,0.26,13,0.02709,0.02709,"Mllt1,Spata2"
"12","GO:0005671","Ada2/Gcn5/Ada3 transcription activator complex",14,1,0.03,14,0.02906,0.02906,"Pole4"
"13","GO:0043196","varicosity",15,1,0.03,16,0.03111,0.03111,"Crhr2"
"14","GO:0043204","perikaryon",136,2,0.29,17,0.03308,0.03308,"Crhr2,Ncdn"
"15","GO:0001518","voltage-gated sodium channel complex",16,1,0.03,18,0.03315,0.03315,"Scn2b"
"16","GO:0005697","telomerase holoenzyme complex",18,1,0.04,19,0.03721,0.03721,"Nhp2"
"17","GO:0042575","DNA polymerase complex",19,1,0.04,20,0.03924,0.03924,"Pole4"
"18","GO:0042611","MHC protein complex",20,1,0.04,21,0.04126,0.04126,"Cd74"
"19","GO:0016021","integral component of membrane",3891,13,8.18,22,0.0464,0.0464,"C3ar1,Cd74,Crhr2,Fcer1g,Fndc4,Hsd17b7,Laptm5,Mpeg1,Scn2b,Sema7a,Smim12,Tnmd,Trem2"
"20","GO:0005732","small nucleolar ribonucleoprotein complex",24,1,0.05,23,0.04932,0.04932,"Nhp2"
"21","GO:0000323","lytic vacuole",406,3,0.85,26,0.05304,0.05304,"Cd74,Ctss,Laptm5"
"22","GO:0005764","lysosome",406,3,0.85,27,0.05304,0.05304,"Cd74,Ctss,Laptm5"
"23","GO:0034706","sodium channel complex",26,1,0.05,28,0.05332,0.05332,"Scn2b"
"24","GO:0043679","axon terminus",183,2,0.38,31,0.05647,0.05647,"Crhr2,Snca"
"25","GO:0043025","neuronal cell body",696,4,1.46,32,0.05691,0.05691,"Crhr2,Ncdn,Snca,Tac1"
"26","GO:0030140","trans-Golgi network transport vesicle",28,1,0.06,33,0.0573,0.0573,"Lyz2"
"27","GO:0031224","intrinsic component of membrane",4023,13,8.46,34,0.05894,0.05894,"C3ar1,Cd74,Crhr2,Fcer1g,Fndc4,Hsd17b7,Laptm5,Mpeg1,Scn2b,Sema7a,Smim12,Tnmd,Trem2"
"28","GO:0030139","endocytic vesicle",189,2,0.4,35,0.05978,0.05978,"Ctss,Mpeg1"
"29","GO:0098794","postsynapse",715,4,1.5,36,0.06166,0.06166,"C1qa,C1qb,C1qc,Ncdn"
"30","GO:0005576","extracellular region",1668,14,3.51,1,0.06349,2.8e-06,"Alkal2,C1qa,C1qb,C1qc,Cd74,Ctss,Fndc4,Iglon5,Lyz2,Sema7a,Snca,Tac1,Trem2,Wfdc17"
"31","GO:0045202","synapse",1392,6,2.93,37,0.06764,0.06764,"C1qa,C1qb,C1qc,Crhr2,Ncdn,Snca"
"32","GO:0044306","neuron projection terminus",204,2,0.43,38,0.06833,0.06833,"Crhr2,Snca"
"33","GO:0005770","late endosome",205,2,0.43,39,0.06892,0.06892,"Cd74,Ctss"
"34","GO:0005730","nucleolus",776,4,1.63,41,0.07831,0.07831,"Mllt1,Nhp2,Parp1,Spata2"
"35","GO:0098552","side of membrane",481,3,1.01,42,0.07948,0.07948,"Cd74,Fcer1g,Sema7a"
"36","GO:0044297","cell body",787,4,1.66,43,0.08153,0.08153,"Crhr2,Ncdn,Snca,Tac1"
"37","GO:0005773","vacuole",488,3,1.03,45,0.0822,0.0822,"Cd74,Ctss,Laptm5"
"38","GO:0005637","nuclear inner membrane",42,1,0.09,47,0.08475,0.08475,"Ptgs2"
"39","GO:0005887","integral component of plasma membrane",1128,5,2.37,48,0.08493,0.08493,"Cd74,Fcer1g,Scn2b,Sema7a,Trem2"
"40","GO:1902562","H4 histone acetyltransferase complex",44,1,0.09,49,0.0886,0.0886,"Pole4"
"41","GO:0098797","plasma membrane protein complex",505,3,1.06,50,0.08897,0.08897,"Cd74,Fcer1g,Scn2b"
"42","GO:0005771","multivesicular body",46,1,0.1,51,0.09245,0.09245,"Cd74"
"43","GO:0035861","site of double-strand break",51,1,0.11,53,0.10198,0.10198,"Parp1"
"44","GO:0005759","mitochondrial matrix",258,2,0.54,54,0.10209,0.10209,"Lyrm7,Snca"
"45","GO:0031226","intrinsic component of plasma membrane",1195,5,2.51,55,0.10261,0.10261,"Cd74,Fcer1g,Scn2b,Sema7a,Trem2"
"46","GO:0008023","transcription elongation factor complex",52,1,0.11,57,0.10387,0.10387,"Mllt1"
"47","GO:0031985","Golgi cisterna",61,1,0.13,59,0.12076,0.12076,"Lyz2"
"48","GO:0005886","plasma membrane",4055,12,8.53,60,0.12154,0.12154,"C3ar1,Cd74,Crhr2,Fcer1g,Fndc4,Hsd17b7,Ptgs2,Scn2b,Sema7a,Snca,Tac1,Trem2"
"49","GO:0030141","secretory granule",295,2,0.62,61,0.12739,0.12739,"Lyz2,Snca"
"50","GO:0090734","site of DNA damage",70,1,0.15,62,0.13733,0.13733,"Parp1"
"51","GO:0016234","inclusion body",71,1,0.15,63,0.13915,0.13915,"Snca"
"52","GO:0071944","cell periphery",4170,12,8.77,64,0.14275,0.14275,"C3ar1,Cd74,Crhr2,Fcer1g,Fndc4,Hsd17b7,Ptgs2,Scn2b,Sema7a,Snca,Tac1,Trem2"
"53","GO:0030667","secretory granule membrane",74,1,0.16,65,0.1446,0.1446,"Snca"
"54","GO:0030133","transport vesicle",322,2,0.68,66,0.14671,0.14671,"Lyz2,Snca"
"55","GO:0031410","cytoplasmic vesicle",1724,6,3.63,67,0.14818,0.14818,"Cd74,Ctss,Lyz2,Mpeg1,Ncdn,Snca"
"56","GO:0097708","intracellular vesicle",1730,6,3.64,68,0.14995,0.14995,"Cd74,Ctss,Lyz2,Mpeg1,Ncdn,Snca"
"57","GO:0000123","histone acetyltransferase complex",77,1,0.16,69,0.15001,0.15001,"Pole4"
"58","GO:0005758","mitochondrial intermembrane space",77,1,0.16,70,0.15001,0.15001,"Snca"
"59","GO:0016020","membrane",6881,19,14.47,44,0.15014,0.08184,"C3ar1,Cd74,Crhr2,Ctss,Fcer1g,Fndc4,Hsd17b7,Laptm5,Lyrm7,Mpeg1,Ncdn,Ptgs2,Scn2b,Sema7a,Smim12,Snca,Tac1,Tnmd,Trem2"
"60","GO:0036477","somatodendritic compartment",988,4,2.08,71,0.15149,0.15149,"Crhr2,Ncdn,Snca,Tac1"
"61","GO:0005788","endoplasmic reticulum lumen",82,1,0.17,72,0.15895,0.15895,"Lyz2"
"62","GO:0044304","main axon",82,1,0.17,73,0.15895,0.15895,"Crhr2"
"63","GO:0005795","Golgi stack",83,1,0.17,74,0.16073,0.16073,"Lyz2"
"64","GO:0043195","terminal bouton",86,1,0.18,75,0.16605,0.16605,"Snca"
"65","GO:1902493","acetyltransferase complex",87,1,0.18,76,0.16781,0.16781,"Pole4"
"66","GO:0031248","protein acetyltransferase complex",87,1,0.18,77,0.16781,0.16781,"Pole4"
"67","GO:0031970","organelle envelope lumen",88,1,0.19,78,0.16957,0.16957,"Snca"
"68","GO:0005635","nuclear envelope",394,4,0.83,6,0.17187,0.00905,"Ipo11,Parp1,Ptgs2,Snca"
"69","GO:0005902","microvillus",91,1,0.19,80,0.17483,0.17483,"Lyz2"
"70","GO:0045121","membrane raft",363,2,0.76,81,0.17711,0.17711,"Fcer1g,Ptgs2"
"71","GO:0098857","membrane microdomain",364,2,0.77,82,0.17786,0.17786,"Fcer1g,Ptgs2"
"72","GO:0030424","axon",697,3,1.47,83,0.17956,0.17956,"Crhr2,Snca,Tac1"
"73","GO:0150034","distal axon",370,2,0.78,84,0.1824,0.1824,"Crhr2,Snca"
"74","GO:0043005","neuron projection",1445,5,3.04,85,0.18329,0.18329,"Crhr2,Ncdn,Ptgs2,Snca,Tac1"
"75","GO:0005901","caveola",96,1,0.2,86,0.18352,0.18352,"Ptgs2"
"76","GO:0098589","membrane region",374,2,0.79,87,0.18544,0.18544,"Fcer1g,Ptgs2"
"77","GO:0031982","vesicle",1850,6,3.89,88,0.18725,0.18725,"Cd74,Ctss,Lyz2,Mpeg1,Ncdn,Snca"
"78","GO:0030136","clathrin-coated vesicle",102,1,0.21,89,0.19383,0.19383,"Lyz2"
"79","GO:0032993","protein-DNA complex",109,1,0.23,90,0.20571,0.20571,"Parp1"
"80","GO:0099501","exocytic vesicle membrane",114,1,0.24,91,0.21408,0.21408,"Snca"
"81","GO:0030672","synaptic vesicle membrane",114,1,0.24,92,0.21408,0.21408,"Snca"
"82","GO:0030054","cell junction",1936,6,4.07,93,0.21618,0.21618,"C1qa,C1qb,C1qc,Crhr2,Ncdn,Snca"
"83","GO:0098852","lytic vacuole membrane",121,1,0.25,94,0.22567,0.22567,"Laptm5"
"84","GO:0005765","lysosomal membrane",121,1,0.25,95,0.22567,0.22567,"Laptm5"
"85","GO:0044853","plasma membrane raft",124,1,0.26,96,0.23058,0.23058,"Ptgs2"
"86","GO:0019866","organelle inner membrane",435,2,0.92,97,0.23253,0.23253,"Ptgs2,Snca"
"87","GO:0005798","Golgi-associated vesicle",132,1,0.28,99,0.24353,0.24353,"Lyz2"
"88","GO:0005768","endosome",842,3,1.77,100,0.25987,0.25987,"Cd74,Ctss,Ncdn"
"89","GO:0030658","transport vesicle membrane",143,1,0.3,101,0.261,0.261,"Snca"
"90","GO:0031225","anchored component of membrane",147,1,0.31,102,0.26726,0.26726,"Sema7a"
"91","GO:0005783","endoplasmic reticulum",1465,7,3.08,15,0.2736,0.03028,"Cd74,Crhr2,Fndc4,Hsd17b7,Lyz2,Ptgs2,Snca"
"92","GO:0099503","secretory vesicle",495,2,1.04,104,0.27963,0.27963,"Lyz2,Snca"
"93","GO:0005741","mitochondrial outer membrane",158,1,0.33,105,0.28419,0.28419,"Snca"
"94","GO:0110165","cellular anatomical entity",14440,33,30.38,58,0.28808,0.10925,"Ado,Alkal2,C1qa,C1qb,C1qc,C3ar1,Cd74,Crhr2,Ctss,Fcer1g,Fndc4,Hsd17b7,Iglon5,Ipo11,Laptm5,Lyrm7,Lyz2,Mllt1,Mpeg1,Ncdn,Nhp2,Parp1,Pole4,Ptgs2,Scn2b,Sema7a,Smim12,Snca,Spata2,Tac1,Tnmd,Trem2,Wfdc17"
"95","GO:0120025","plasma membrane bounded cell projection",2145,6,4.51,106,0.29255,0.29255,"Crhr2,Lyz2,Ncdn,Ptgs2,Snca,Tac1"
"96","GO:0031967","organelle envelope",986,5,2.07,29,0.30153,0.05351,"Ipo11,Lyrm7,Parp1,Ptgs2,Snca"
"97","GO:0031975","envelope",986,5,2.07,30,0.30153,0.05351,"Ipo11,Lyrm7,Parp1,Ptgs2,Snca"
"98","GO:0005774","vacuolar membrane",170,1,0.36,107,0.30223,0.30223,"Laptm5"
