"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0043025","neuronal cell body",696,28,11.11,21,6.8e-06,6.8e-06,"Acsl4,Apoe,Atp1a2,Cplx1,Cx3cr1,Cybb,Dner,Epha5,Grik1,Grin3a,Grm7,Hcn1,Htr3a,Igf1,Igsf9b,Kcnc2,Kcnma1,Ncdn,Pnoc,Rgs7bp,Shroom2,Slc31a1,Slc38a2,Slc6a1,Snap91,Snca,Sncb,Tnn"
"2","GO:0043195","terminal bouton",86,9,1.37,25,9.2e-06,9.2e-06,"Cplx1,Grik1,Grin2a,Grm7,Kcnc2,Kcnma1,Snca,Sncb,Tnn"
"3","GO:0045211","postsynaptic membrane",321,19,5.12,14,2.3e-05,1e-06,"Arrb1,Dlgap1,Gabra1,Glrb,Grik1,Grin2a,Grin3a,Grm7,Htr3a,Igsf9b,Kcnc2,Kcnma1,Kctd12,Rgs7bp,Slc6a1,Slc6a8,Slc6a9,Snap91,Srgap2"
"4","GO:0016021","integral component of membrane",3891,106,62.11,5,3.2e-05,9e-10,"1810055G02Rik,AI593442,Abhd2,Ackr1,Acsl4,Adgre1,Aplp2,Aqp11,Atp1a2,B4galt2,C3ar1,Cd72,Clcn6,Clec4d,Cnnm2,Cnppd1,Cnr1,Cntnap1,Cntnap5a,Cpd,Crls1,Cx3cr1,Cybb,Dhcr24,Diablo,Dner,Epha5,Ephx4,Erg28,Fcgr3,Fcrls,Fndc4,Fndc5,Gabra1,Gal3st3,Ggt7,Ghitm,Glrb,Gpnmb,Grik1,Grin2a,Grin3a,Grm7,Hcn1,Hsd17b7,Htr3a,Igsf9b,Irs1,Itgb2,Kcnab2,Kcnc2,Kcnh7,Kcnj3,Kcnma1,Kcns3,Lamp5,Laptm5,Lrrc8a,Mpeg1,Ndst3,Oca2,Opn3,Pcdh11x,Pirb,Pld4,Ppif,Praf2,Ptgfrn,Rab5if,Robo2,Sacm1l,Scn2b,Scn7a,Sec61a1,Sema3a,Sema3c,Sema7a,Slc22a23,Slc25a10,Slc25a15,Slc25a25,Slc25a46,Slc31a1,Slc35e3,Slc38a2,Slc5a3,Slc6a1,Slc6a8,Slc6a9,Slco1a5,Smim12,Spink10,St8sia4,Stab1,Steap2,Susd6,Tfrc,Tm6sf1,Tmem230,Tmem234,Tmem9b,Tnmd,Trem2,Tyrobp,Ugt8a,Zdhhc9"
"5","GO:0009986","cell surface",745,27,11.89,31,6.2e-05,6.2e-05,"Adamts15,Adgre1,Apoe,Aqp11,Cd5l,Ctss,Cx3cr1,Epha5,Fcgr3,Glrb,Grin2a,Grm7,Hcn1,Ide,Itgb2,Kcnj3,Kcnma1,Lpl,Lrrc8a,Ntm,Robo2,Sema7a,Slc6a1,Slit2,Tfrc,Tnn,Tyrobp"
"6","GO:0099056","integral component of presynaptic membrane",116,9,1.85,34,1e-04,1e-04,"Cnr1,Grik1,Grin2a,Grm7,Htr3a,Kcnj3,Kcnma1,Slc6a1,Slc6a9"
"7","GO:0005887","integral component of plasma membrane",1128,43,18.01,9,0.00013,7.9e-08,"Adgre1,Atp1a2,Cd72,Cnr1,Cybb,Diablo,Epha5,Fcgr3,Fcrls,Gabra1,Glrb,Gpnmb,Grik1,Grin2a,Grin3a,Grm7,Hcn1,Htr3a,Irs1,Itgb2,Kcnab2,Kcnc2,Kcnh7,Kcnj3,Kcnma1,Kcns3,Lrrc8a,Opn3,Pcdh11x,Sacm1l,Scn2b,Scn7a,Sema3a,Sema3c,Sema7a,Slc38a2,Slc6a1,Slc6a8,Slc6a9,Slco1a5,Stab1,Tfrc,Trem2"
"8","GO:0005886","plasma membrane",4055,113,64.73,2,0.00017,3.3e-11,"1810055G02Rik,Abcg4,Abhd2,Acsl4,Adgre1,Angpt1,Ap1s3,Aplp2,Apoe,Aqp11,Arrb1,Atf4,Atp1a2,C3ar1,Casp1,Cat,Cd5l,Cd72,Clec4d,Cnnm2,Cnr1,Cntnap1,Cpd,Cptp,Cx3cr1,Cybb,Diablo,Dlgap1,Dner,Epha5,Fcgr3,Fcrls,Fndc4,Fndc5,Gabra1,Gad2,Ggt7,Glrb,Gpnmb,Grik1,Grin2a,Grin3a,Grm7,Hcn1,Hsd17b7,Htr3a,Ide,Igf1,Igsf9b,Inpp5d,Irs1,Itgb2,Jcad,Kcnab2,Kcnc2,Kcnh7,Kcnj3,Kcnma1,Kcns3,Kctd12,Lamp5,Lpl,Lrrc8a,Mmp19,Nf2,Ntm,Opn3,Pcdh11x,Pde4a,Pirb,Plek,Pnoc,Prkcb,Prkg2,Ptgs2,Rab18,Rab3c,Rac2,Raf1,Reps2,Rgmb,Rgs13,Rgs2,Rgs7bp,Rnd2,Robo2,Sacm1l,Scn2b,Scn7a,Sema3a,Sema3c,Sema7a,Shroom2,Slc12a6,Slc31a1,Slc38a2,Slc5a3,Slc6a1,Slc6a8,Slc6a9,Slco1a5,Slit2,Snap91,Snca,Srgap2,Stab1,Steap2,Tfrc,Trem2,Tyrobp,Usp6nl,Yes1,Zmat3"
"9","GO:0030425","dendrite",675,24,10.77,42,0.00021,0.00021,"Apoe,Aqp11,Arrb1,Atp1a2,Cplx1,Cybb,Dner,Epha5,Grik1,Grin2a,Grm7,Hcn1,Igsf9b,Kcnc2,Kcnma1,Ncdn,Pnoc,Rgs7bp,Sema3a,Slc38a2,Srgap2,Stat1,Tnn,Uhmk1"
"10","GO:0032590","dendrite membrane",45,5,0.72,48,0.00072,0.00072,"Atf4,Gabra1,Hcn1,Kcnc2,Lamp5"
"11","GO:0008076","voltage-gated potassium channel complex",74,6,1.18,49,0.00117,0.00117,"Hcn1,Kcnab2,Kcnc2,Kcnj3,Kcnma1,Kcns3"
"12","GO:0045335","phagocytic vesicle",102,7,1.63,50,0.00124,0.00124,"Capg,Ctss,Cybb,Mpeg1,Pld4,Sec61a1,Srgap2"
"13","GO:0005794","Golgi apparatus",1353,36,21.6,51,0.00165,0.00165,"1810055G02Rik,Ap1s3,Apoe,B4galt2,Cat,Cpd,Cptp,Cybb,Dhcr24,Dym,Fcgr3,Fig4,Gad2,Gal3st3,Grm7,Hs3st1,Kcns3,Lyz2,Naa60,Ndst3,Pld4,Ptgfrn,Rab18,Raf1,Sacm1l,Slc35e3,Snca,St8sia4,Steap2,Tmem230,Tnks2,Tpp1,Uhmk1,Usp6nl,Yes1,Zdhhc9"
"14","GO:0098688","parallel fiber to Purkinje cell synapse",33,4,0.53,53,0.0018,0.0018,"Grin2a,Kcnj3,Slc6a9,Snap91"
"15","GO:0098878","neurotransmitter receptor complex",56,5,0.89,54,0.00196,0.00196,"Grik1,Grin2a,Grin3a,Htr3a,Sacm1l"
"16","GO:0030424","axon",697,32,11.13,8,0.00229,7.6e-08,"Cnr1,Cntnap1,Cplx1,Epha5,Gad1,Gad2,Grik1,Grin2a,Grm7,Hcn1,Htr3a,Kcnab2,Kcnc2,Kcnma1,Lamp5,Nog,Ntm,Pnoc,Prkcb,Rgs7bp,Robo2,Scn7a,Sema3a,Slc12a6,Slc38a2,Slc6a1,Snap91,Snca,Sncb,Stat1,Tnn,Uhmk1"
"17","GO:0005791","rough endoplasmic reticulum",85,6,1.36,56,0.00238,0.00238,"Cybb,Epha5,Grm7,Lyz2,Sec61a1,Snca"
"18","GO:0098805","whole membrane",1089,30,17.38,57,0.00245,0.00245,"Acsl4,Angpt1,Atp1a2,Cat,Cnr1,Fig4,Gad1,Gad2,Irs1,Itgb2,Kcnma1,Lamp5,Laptm5,Ncdn,Nf2,Oca2,Ptgs2,Rab3c,Rragd,Sec61a1,Slc25a46,Slc6a9,Snap91,Snca,Tex264,Tfrc,Tm6sf1,Tpp1,Vat1,Vps26a"
"19","GO:0005615","extracellular space",1059,29,16.9,58,0.00315,0.00315,"Adamts15,Angpt1,Apoe,C1qa,C1qb,C1qc,Capg,Cat,Cpd,Ctss,Fgf9,Fndc4,Ide,Igf1,Lpl,Lyz2,Mmp19,Nog,Ntm,Ocm,Selenop,Sema3a,Sema3c,Sema7a,Slit2,Snca,Tfrc,Tnn,Wfdc17"
"20","GO:0043679","axon terminus",183,15,2.92,10,0.00397,2.5e-07,"Cplx1,Gad1,Grik1,Grin2a,Grm7,Hcn1,Kcnab2,Kcnc2,Kcnma1,Pnoc,Prkcb,Snap91,Snca,Sncb,Tnn"
"21","GO:0005769","early endosome",274,11,4.37,59,0.00466,0.00466,"Apoe,Ctss,Dner,Lamp5,Nf2,Pld4,Rnd2,Steap2,Tfrc,Tmem230,Vps26a"
