"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0045668","negative regulation of osteoblast differentiation",51,7,0.76,14,9.9e-06,9.9e-06,"Chrd,Cited1,Dlk1,Fgfr1,Igfbp5,Lrp5,Smad3"
"2","GO:0042060","wound healing",306,15,4.56,28,5.7e-05,5.7e-05,"Arhgef19,Cd151,Celsr1,Col5a1,Cxcr4,Fbln1,Grhl3,Itga2b,Nbeal2,Ptk7,Sdc1,Smad3,Smoc2,Tgfb2,Wnt4"
"3","GO:0030335","positive regulation of cell migration",523,20,7.79,41,0.00011,0.00011,"Cd151,Cxcl12,Cxcr4,Fbln1,Fgfr1,Foxo4,Gnai2,Igfbp5,Itga2b,Itga5,Lgr6,Mcam,Pcsk5,Rhoc,Sema3f,Smad3,Smoc2,Stat5a,Tgfb2,Vegfd"
"4","GO:0045429","positive regulation of nitric oxide biosynthetic process",40,5,0.6,51,3e-04,3e-04,"Ass1,Esr1,Klf2,Smad3,Ticam1"
"5","GO:0007565","female pregnancy",114,8,1.7,52,0.00031,0.00031,"Esr1,H2-Q2,Igfbp5,Junb,Pcsk5,Stat5a,Stx2,Wnt4"
"6","GO:0007340","acrosome reaction",26,4,0.39,61,0.00055,0.00055,"Cacna1h,Plcd4,Stx2,Syt6"
"7","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",47,5,0.7,66,0.00065,0.00065,"Cbln1,Cdh2,Itga5,Mcam,Scarf2"
"8","GO:0090179","planar cell polarity pathway involved in neural tube closure",13,3,0.19,72,0.00084,0.00084,"Celsr1,Grhl3,Ptk7"
"9","GO:0060395","SMAD protein signal transduction",78,6,1.16,81,0.00108,0.00108,"Cited1,Inhbb,Lefty2,Mir7-1,Smad3,Tgfb2"
"10","GO:0045765","regulation of angiogenesis",283,12,4.22,84,0.00114,0.00114,"Creb3l1,Cxcr4,Efna1,Foxo4,Itga5,Klf2,Pak4,Ramp2,Smoc2,Tgfb2,Vash1,Vegfd"
