"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0008035","high-density lipoprotein particle binding",10,1,0.01,1,0.0075,0.0075,"Trem2"
"2","GO:0055102","lipase inhibitor activity",10,1,0.01,2,0.0075,0.0075,"Anxa1"
"3","GO:0097617","annealing activity",13,1,0.01,3,0.0098,0.0098,"Anxa1"
"4","GO:0042802","identical protein binding",1979,5,1.5,4,0.0112,0.0112,"Anxa1,C1qb,Lyz2,Tgm2,Tyrobp"
"5","GO:0016755","transferase activity, transferring amino-acyl groups",15,1,0.01,5,0.0113,0.0113,"Tgm2"
"6","GO:0030169","low-density lipoprotein particle binding",15,1,0.01,6,0.0113,0.0113,"Trem2"
"7","GO:0034185","apolipoprotein binding",16,1,0.01,7,0.012,0.012,"Trem2"
"8","GO:0008483","transaminase activity",18,1,0.01,8,0.0135,0.0135,"Tgm2"
"9","GO:0016769","transferase activity, transferring nitrogenous groups",20,1,0.02,9,0.015,0.015,"Tgm2"
"10","GO:0001530","lipopolysaccharide binding",23,1,0.02,10,0.0173,0.0173,"Trem2"
"11","GO:0001968","fibronectin binding",29,1,0.02,13,0.0217,0.0217,"Ctss"
"12","GO:0043236","laminin binding",29,1,0.02,14,0.0217,0.0217,"Ctss"
"13","GO:0004175","endopeptidase activity",318,2,0.24,15,0.0232,0.0232,"Cd5l,Ctss"
"14","GO:0043394","proteoglycan binding",34,1,0.03,16,0.0254,0.0254,"Ctss"
"15","GO:0005044","scavenger receptor activity",40,1,0.03,17,0.0299,0.0299,"Cd5l"
"16","GO:0005543","phospholipid binding",406,2,0.31,18,0.0364,0.0364,"Anxa1,Trem2"
"17","GO:0005544","calcium-dependent phospholipid binding",51,1,0.04,19,0.0379,0.0379,"Anxa1"
"18","GO:0003678","DNA helicase activity",56,1,0.04,20,0.0416,0.0416,"Anxa1"
"19","GO:0001540","amyloid-beta binding",57,1,0.04,21,0.0423,0.0423,"Trem2"
"20","GO:0050840","extracellular matrix binding",57,1,0.04,22,0.0423,0.0423,"Ctss"
"21","GO:0005200","structural constituent of cytoskeleton",58,1,0.04,23,0.043,0.043,"Mybpc1"
