"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0005509","calcium ion binding",541,6,0.61,1,2e-05,2e-05,"Dlk1,Loxl2,Smoc2,Sulf1,Syt6,Tbc1d8b"
"2","GO:0005044","scavenger receptor activity",40,2,0.05,2,0.00092,0.00092,"Loxl2,Susd2"
"3","GO:0050840","extracellular matrix binding",57,2,0.06,3,0.00187,0.00187,"Olfml2b,Smoc2"
"4","GO:0003779","actin binding",405,3,0.46,6,0.01014,0.01014,"Pdlim1,Tpm2,Vash1"
"5","GO:0008484","sulfuric ester hydrolase activity",12,1,0.01,7,0.01354,0.01354,"Sulf1"
"6","GO:0016832","aldehyde-lyase activity",13,1,0.01,8,0.01466,0.01466,"Aldoc"
"7","GO:0051371","muscle alpha-actinin binding",14,1,0.02,9,0.01578,0.01578,"Pdlim1"
"8","GO:0046935","1-phosphatidylinositol-3-kinase regulator activity",14,1,0.02,10,0.01578,0.01578,"Socs3"
"9","GO:0015377","cation:chloride symporter activity",16,1,0.02,11,0.01801,0.01801,"Slc12a4"
"10","GO:0016641","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",16,1,0.02,12,0.01801,0.01801,"Loxl2"
"11","GO:0008092","cytoskeletal protein binding",926,4,1.05,13,0.01831,0.01831,"Aldoc,Pdlim1,Tpm2,Vash1"
"12","GO:0005539","glycosaminoglycan binding",185,2,0.21,14,0.01832,0.01832,"Smoc2,Sulf1"
"13","GO:0005488","binding",11331,18,12.86,4,0.02087,0.00234,"Aldoc,Dlk1,Loxl2,Ncam2,Ntn1,Nynrin,Olfml2b,Pdlim1,Sbno2,Slc12a4,Smoc2,Socs3,Sulf1,Susd2,Syt6,Tbc1d8b,Tpm2,Vash1"
"14","GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors",19,1,0.02,15,0.02136,0.02136,"Loxl2"
"15","GO:0035014","phosphatidylinositol 3-kinase regulator activity",19,1,0.02,16,0.02136,0.02136,"Socs3"
"16","GO:0015296","anion:cation symporter activity",19,1,0.02,17,0.02136,0.02136,"Slc12a4"
"17","GO:0004181","metallocarboxypeptidase activity",21,1,0.02,18,0.02358,0.02358,"Vash1"
"18","GO:0030246","carbohydrate binding",216,2,0.25,19,0.02448,0.02448,"Loxl2,Susd2"
"19","GO:0030247","polysaccharide binding",22,1,0.02,20,0.02469,0.02469,"Susd2"
"20","GO:0046982","protein heterodimerization activity",237,2,0.27,21,0.02907,0.02907,"Syt6,Tpm2"
"21","GO:0051393","alpha-actinin binding",28,1,0.03,22,0.03132,0.03132,"Pdlim1"
"22","GO:0004180","carboxypeptidase activity",35,1,0.04,23,0.03901,0.03901,"Vash1"
"23","GO:0042805","actinin binding",39,1,0.04,24,0.04337,0.04337,"Pdlim1"
"24","GO:0008235","metalloexopeptidase activity",44,1,0.05,25,0.0488,0.0488,"Vash1"
"25","GO:0001784","phosphotyrosine residue binding",44,1,0.05,26,0.0488,0.0488,"Socs3"
"26","GO:0005507","copper ion binding",47,1,0.05,28,0.05205,0.05205,"Loxl2"
"27","GO:0016830","carbon-carbon lyase activity",47,1,0.05,29,0.05205,0.05205,"Aldoc"
"28","GO:0001786","phosphatidylserine binding",51,1,0.06,30,0.05636,0.05636,"Syt6"
"29","GO:0005544","calcium-dependent phospholipid binding",51,1,0.06,31,0.05636,0.05636,"Syt6"
"30","GO:0005515","protein binding",8084,13,9.17,32,0.05685,0.05685,"Aldoc,Dlk1,Ncam2,Ntn1,Olfml2b,Pdlim1,Sbno2,Slc12a4,Socs3,Syt6,Tbc1d8b,Tpm2,Vash1"
"31","GO:0045309","protein phosphorylated amino acid binding",56,1,0.06,34,0.06172,0.06172,"Socs3"
"32","GO:0005200","structural constituent of cytoskeleton",58,1,0.07,35,0.06385,0.06385,"Tpm2"
"33","GO:0004521","endoribonuclease activity",58,1,0.07,36,0.06385,0.06385,"Nynrin"
