"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0005581","collagen trimer",74,3,0.07,2,4e-05,4e-05,"C1qa,C1qb,C1qc"
"2","GO:0005615","extracellular space",1059,6,0.98,3,0.00023,0.00023,"Anxa1,C1qa,C1qb,C1qc,Ctss,Lyz2"
"3","GO:0009986","cell surface",745,5,0.69,4,0.00042,0.00042,"Anxa1,Cd5l,Ctss,Ifitm3,Tyrobp"
"4","GO:0045335","phagocytic vesicle",102,2,0.09,5,0.00392,0.00392,"Ctss,Mpeg1"
"5","GO:0005576","extracellular region",1668,9,1.55,1,0.00457,3.6e-06,"Anxa1,C1qa,C1qb,C1qc,Cd5l,Ctss,Lyz2,Tgm2,Trem2"
"6","GO:0005764","lysosome",406,3,0.38,6,0.00572,0.00572,"Anxa1,Ctss,Ifitm3"
"7","GO:0001533","cornified envelope",11,1,0.01,9,0.01016,0.01016,"Anxa1"
"8","GO:0000137","Golgi cis cisterna",12,1,0.01,10,0.01108,0.01108,"Lyz2"
"9","GO:0031966","mitochondrial membrane",562,3,0.52,12,0.01392,0.01392,"Anxa1,Ucp2,Vat1"
"10","GO:0005740","mitochondrial envelope",610,3,0.57,15,0.01734,0.01734,"Anxa1,Ucp2,Vat1"
"11","GO:0030140","trans-Golgi network transport vesicle",28,1,0.03,17,0.02568,0.02568,"Lyz2"
"12","GO:0098794","postsynapse",715,3,0.66,18,0.02635,0.02635,"C1qa,C1qb,C1qc"
"13","GO:0045202","synapse",1392,4,1.29,19,0.03462,0.03462,"Anxa1,C1qa,C1qb,C1qc"
"14","GO:0062023","collagen-containing extracellular matrix",336,2,0.31,20,0.03785,0.03785,"Anxa1,Tgm2"
"15","GO:0005768","endosome",842,3,0.78,21,0.0401,0.0401,"Anxa1,Ctss,Ifitm3"
"16","GO:0045177","apical part of cell",393,2,0.36,22,0.05025,0.05025,"Anxa1,Ifitm3"
"17","GO:0016328","lateral plasma membrane",57,1,0.05,23,0.05163,0.05163,"Anxa1"
"18","GO:0016020","membrane",6881,10,6.39,24,0.0526,0.0526,"Anxa1,Cd5l,Ctss,Ifitm3,Mpeg1,Tgm2,Trem2,Tyrobp,Ucp2,Vat1"
"19","GO:0031985","Golgi cisterna",61,1,0.06,25,0.05516,0.05516,"Lyz2"
"20","GO:0031975","envelope",986,3,0.92,26,0.05942,0.05942,"Anxa1,Ucp2,Vat1"
"21","GO:0031967","organelle envelope",986,3,0.92,27,0.05942,0.05942,"Anxa1,Ucp2,Vat1"
"22","GO:0005739","mitochondrion",1678,4,1.56,28,0.06223,0.06223,"Anxa1,Tgm2,Ucp2,Vat1"
"23","GO:0031012","extracellular matrix",447,2,0.41,29,0.0632,0.0632,"Anxa1,Tgm2"
"24","GO:0070062","extracellular exosome",74,1,0.07,30,0.06655,0.06655,"Anxa1"
"25","GO:1903561","extracellular vesicle",82,1,0.08,31,0.07349,0.07349,"Anxa1"
"26","GO:0005788","endoplasmic reticulum lumen",82,1,0.08,32,0.07349,0.07349,"Lyz2"
"27","GO:0005795","Golgi stack",83,1,0.08,33,0.07435,0.07435,"Lyz2"
"28","GO:0005791","rough endoplasmic reticulum",85,1,0.08,34,0.07608,0.07608,"Lyz2"
"29","GO:0043230","extracellular organelle",91,1,0.08,35,0.08124,0.08124,"Anxa1"
"30","GO:0005902","microvillus",91,1,0.08,36,0.08124,0.08124,"Lyz2"
"31","GO:0030136","clathrin-coated vesicle",102,1,0.09,37,0.09063,0.09063,"Lyz2"
"32","GO:0030054","cell junction",1936,4,1.8,38,0.09526,0.09526,"Anxa1,C1qa,C1qb,C1qc"
"33","GO:0005884","actin filament",127,1,0.12,39,0.11164,0.11164,"Anxa1"
"34","GO:0005798","Golgi-associated vesicle",132,1,0.12,40,0.11579,0.11579,"Lyz2"
"35","GO:0031410","cytoplasmic vesicle",1724,5,1.6,13,0.13678,0.01651,"Anxa1,Ctss,Ifitm3,Lyz2,Mpeg1"
"36","GO:0005741","mitochondrial outer membrane",158,1,0.15,41,0.13707,0.13707,"Vat1"
"37","GO:0042383","sarcolemma",158,1,0.15,42,0.13707,0.13707,"Anxa1"
"38","GO:0097708","intracellular vesicle",1730,5,1.61,14,0.13791,0.01674,"Anxa1,Ctss,Ifitm3,Lyz2,Mpeg1"
"39","GO:0031224","intrinsic component of membrane",4023,6,3.73,43,0.14586,0.14586,"Ifitm3,Mpeg1,Tgm2,Trem2,Tyrobp,Ucp2"
"40","GO:0019897","extrinsic component of plasma membrane",174,1,0.16,44,0.14992,0.14992,"Anxa1"
"41","GO:0019867","outer membrane",174,1,0.16,45,0.14992,0.14992,"Vat1"
"42","GO:0031968","organelle outer membrane",174,1,0.16,46,0.14992,0.14992,"Vat1"
"43","GO:0005886","plasma membrane",4055,6,3.76,47,0.15021,0.15021,"Anxa1,Cd5l,Ifitm3,Tgm2,Trem2,Tyrobp"
"44","GO:0030135","coated vesicle",183,1,0.17,48,0.15707,0.15707,"Lyz2"
"45","GO:0031514","motile cilium",184,1,0.17,49,0.15786,0.15786,"Anxa1"
"46","GO:0031982","vesicle",1850,5,1.72,16,0.16124,0.02192,"Anxa1,Ctss,Ifitm3,Lyz2,Mpeg1"
"47","GO:0071944","cell periphery",4170,6,3.87,50,0.16643,0.16643,"Anxa1,Cd5l,Ifitm3,Tgm2,Trem2,Tyrobp"
"48","GO:0098858","actin-based cell projection",201,1,0.19,51,0.17121,0.17121,"Lyz2"
"49","GO:0005770","late endosome",205,1,0.19,52,0.17432,0.17432,"Ctss"
"50","GO:0005769","early endosome",274,1,0.25,54,0.2263,0.2263,"Ctss"
"51","GO:0098791","Golgi apparatus subcompartment",278,1,0.26,55,0.22922,0.22922,"Lyz2"
"52","GO:0030141","secretory granule",295,1,0.27,56,0.24151,0.24151,"Lyz2"
"53","GO:0019898","extrinsic component of membrane",296,1,0.27,57,0.24223,0.24223,"Anxa1"
"54","GO:0016324","apical plasma membrane",297,1,0.28,58,0.24294,0.24294,"Anxa1"
"55","GO:0031984","organelle subcompartment",303,1,0.28,59,0.24723,0.24723,"Lyz2"
"56","GO:0009897","external side of plasma membrane",307,1,0.28,60,0.25007,0.25007,"Anxa1"
"57","GO:0030133","transport vesicle",322,1,0.3,61,0.26065,0.26065,"Lyz2"
"58","GO:0031090","organelle membrane",1998,3,1.85,62,0.28081,0.28081,"Anxa1,Ucp2,Vat1"
"59","GO:0016021","integral component of membrane",3891,5,3.61,63,0.28326,0.28326,"Ifitm3,Mpeg1,Trem2,Tyrobp,Ucp2"
"60","GO:0031226","intrinsic component of plasma membrane",1195,2,1.11,64,0.30567,0.30567,"Tgm2,Trem2"
"61","GO:0005743","mitochondrial inner membrane",394,1,0.37,65,0.3095,0.3095,"Ucp2"
"62","GO:0019866","organelle inner membrane",435,1,0.4,66,0.33596,0.33596,"Ucp2"
"63","GO:0097060","synaptic membrane",458,1,0.43,67,0.35038,0.35038,"Anxa1"
"64","GO:0015629","actin cytoskeleton",467,1,0.43,68,0.35595,0.35595,"Anxa1"
"65","GO:0098552","side of membrane",481,1,0.45,69,0.36451,0.36451,"Anxa1"
"66","GO:0099503","secretory vesicle",495,1,0.46,70,0.37298,0.37298,"Lyz2"
"67","GO:0005783","endoplasmic reticulum",1465,2,1.36,71,0.40007,0.40007,"Ifitm3,Lyz2"
"68","GO:0012505","endomembrane system",3518,4,3.26,72,0.41852,0.41852,"Anxa1,Ctss,Ifitm3,Lyz2"
"69","GO:0005929","cilium",591,1,0.55,73,0.42822,0.42822,"Anxa1"
"70","GO:0099513","polymeric cytoskeletal fiber",610,1,0.57,74,0.4386,0.4386,"Anxa1"
"71","GO:0099512","supramolecular fiber",818,1,0.76,76,0.54131,0.54131,"Anxa1"
"72","GO:0099081","supramolecular polymer",824,1,0.76,77,0.54399,0.54399,"Anxa1"
"73","GO:0005856","cytoskeleton",1990,2,1.85,78,0.56728,0.56728,"Anxa1,Mybpc1"
"74","GO:0120025","plasma membrane bounded cell projection",2145,2,1.99,79,0.61076,0.61076,"Anxa1,Lyz2"
"75","GO:0098588","bounding membrane of organelle",1043,1,0.97,80,0.6325,0.6325,"Vat1"
"76","GO:0098805","whole membrane",1089,1,1.01,82,0.64893,0.64893,"Vat1"
"77","GO:0099080","supramolecular complex",1108,1,1.03,83,0.65551,0.65551,"Anxa1"
"78","GO:0005887","integral component of plasma membrane",1128,1,1.05,84,0.66232,0.66232,"Trem2"
"79","GO:0042995","cell projection",2356,2,2.19,85,0.66512,0.66512,"Anxa1,Lyz2"
"80","GO:0098590","plasma membrane region",1138,1,1.06,86,0.66567,0.66567,"Anxa1"
"81","GO:0110165","cellular anatomical entity",14440,15,13.4,53,0.6686,0.18422,"Anxa1,C1qa,C1qb,C1qc,Cd5l,Ctss,Ifitm3,Lyz2,Mpeg1,Mybpc1,Tgm2,Trem2,Tyrobp,Ucp2,Vat1"
"82","GO:0005794","Golgi apparatus",1353,1,1.26,87,0.7307,0.7307,"Lyz2"
"83","GO:0031974","membrane-enclosed lumen",4127,3,3.83,88,0.77815,0.77815,"Anxa1,Ctss,Lyz2"
"84","GO:0070013","intracellular organelle lumen",4127,3,3.83,89,0.77815,0.77815,"Anxa1,Ctss,Lyz2"
"85","GO:0043233","organelle lumen",4127,3,3.83,90,0.77815,0.77815,"Anxa1,Ctss,Lyz2"
"86","GO:0005829","cytosol",3301,2,3.06,93,0.84254,0.84254,"Anxa1,Tgm2"
"87","GO:0005737","cytoplasm",9830,9,9.12,81,0.89604,0.63502,"Anxa1,Cd5l,Ctss,Ifitm3,Lyz2,Mpeg1,Tgm2,Ucp2,Vat1"
"88","GO:0032991","protein-containing complex",4722,5,4.38,75,0.90186,0.45746,"Anxa1,C1qa,C1qb,C1qc,Ifitm3"
"89","GO:0043232","intracellular non-membrane-bounded organelle",4056,2,3.76,97,0.92108,0.92108,"Anxa1,Mybpc1"
"90","GO:0043228","non-membrane-bounded organelle",4074,2,3.78,98,0.92245,0.92245,"Anxa1,Mybpc1"
"91","GO:0043229","intracellular organelle",10841,9,10.06,91,0.95755,0.80674,"Anxa1,Ctss,Ifitm3,Lyz2,Mpeg1,Mybpc1,Tgm2,Ucp2,Vat1"
"92","GO:0005654","nucleoplasm",3117,1,2.89,99,0.95985,0.95985,"Anxa1"
"93","GO:0005622","intracellular",12251,10,11.37,95,0.9661,0.86871,"Anxa1,Cd5l,Ctss,Ifitm3,Lyz2,Mpeg1,Mybpc1,Tgm2,Ucp2,Vat1"
"94","GO:0043226","organelle",11139,9,10.34,94,0.96895,0.84751,"Anxa1,Ctss,Ifitm3,Lyz2,Mpeg1,Mybpc1,Tgm2,Ucp2,Vat1"
"95","GO:0043227","membrane-bounded organelle",10054,8,9.33,92,0.97536,0.83559,"Anxa1,Ctss,Ifitm3,Lyz2,Mpeg1,Tgm2,Ucp2,Vat1"
"96","GO:0043231","intracellular membrane-bounded organelle",9432,7,8.75,96,0.97544,0.88052,"Anxa1,Ctss,Ifitm3,Lyz2,Tgm2,Ucp2,Vat1"
"97","GO:0031981","nuclear lumen",3737,1,3.47,100,0.98067,0.98067,"Anxa1"
"98","GO:0005634","nucleus",6335,2,5.88,101,0.99389,0.99389,"Anxa1,Ifitm3"
"99","GO:0005575","cellular_component",16163,15,15,102,1,1,"Anxa1,C1qa,C1qb,C1qc,Cd5l,Ctss,Ifitm3,Lyz2,Mpeg1,Mybpc1,Tgm2,Trem2,Tyrobp,Ucp2,Vat1"
"100","GO:0030139","endocytic vesicle",189,2,0.18,11,1,0.01292,"Ctss,Mpeg1"
"101","GO:0005773","vacuole",488,3,0.45,8,1,0.00949,"Anxa1,Ctss,Ifitm3"
