"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0016021","integral component of membrane",3891,50,31.54,4,0.00052,0.00022,"1810055G02Rik,Acsl4,Adam11,Adam9,Aplp2,Cacng7,Cnppd1,Cntnap1,Cpd,Dhcr24,Elovl2,Epha3,Erg28,Fndc4,Fndc5,Gpm6b,Gpr37,Grin2a,Hsd17b7,Igsf9b,Irs1,Itga4,Kcnh7,Ndst3,Ngfr,Pcdh11x,Praf2,Ptgfrn,Scn2b,Scn7a,Sec61a1,Sema7a,Slc16a7,Slc25a15,Slc25a46,Slc38a2,Slc44a2,Slc5a3,Slc6a8,Slc6a9,Smim12,Sppl2b,Stxbp6,Susd6,Tmem230,Tmem234,Tnmd,Traf3ip3,Zdhhc4,Zdhhc9"
"2","GO:0045211","postsynaptic membrane",321,9,2.6,6,0.00122,0.00122,"Arrb1,Cacng7,Grin2a,Igsf9b,Kctd12,Slc16a7,Slc6a8,Slc6a9,Srgap2"
"3","GO:0098688","parallel fiber to Purkinje cell synapse",33,3,0.27,7,0.00238,0.00238,"Grin2a,Slc16a7,Slc6a9"
"4","GO:0031143","pseudopodium",10,2,0.08,8,0.00281,0.00281,"Arrb1,Raf1"
"5","GO:0005886","plasma membrane",4055,53,32.87,2,0.00285,7.5e-05,"1810055G02Rik,Abcg4,Acsl4,Adam9,Angpt1,Aplp2,Arrb1,Atxn3,Cacng7,Cat,Ccnt2,Cntnap1,Cpd,Epha3,Fndc4,Fndc5,Gpm6b,Gpr37,Grin2a,Hsd17b7,Igsf9b,Irs1,Itga4,Jcad,Kcnh7,Kctd12,Ngfr,Pcdh11x,Pde4a,Pik3cb,Plec,Prkcb,Pxk,Rab18,Raf1,Reps2,Rnf114,Scn2b,Scn7a,Sema7a,Slc16a7,Slc38a2,Slc44a2,Slc5a3,Slc6a8,Slc6a9,Snca,Sppl2b,Srgap2,Stxbp6,Usp6nl,Zdhhc4,Zmat3"
"6","GO:0061695","transferase complex, transferring phosphorus-containing groups",233,7,1.89,9,0.00291,0.00291,"Ccnt2,Cnppd1,Irs1,Pik3cb,Pole4,Socs2,Taf13"
"7","GO:0012505","endomembrane system",3518,41,28.51,11,0.00695,0.00695,"1810055G02Rik,Acsl4,Arrb1,Atxn3,Cacng7,Cat,Cpd,Dhcr24,Dync1li2,Elovl2,Epha3,Erg28,Fig4,Fndc4,Fndc5,Gpr37,Grin2a,Hsd17b7,Ipo11,Naa60,Ncdn,Ndst3,Ngfr,Parp1,Ppib,Praf2,Ptgfrn,Rab18,Raf1,Rragd,Sec61a1,Sh3bgrl2,Slc6a9,Snca,Sppl2b,Tmem230,Tpp1,Uhmk1,Usp6nl,Zdhhc4,Zdhhc9"
"8","GO:0001518","voltage-gated sodium channel complex",16,2,0.13,12,0.00726,0.00726,"Scn2b,Scn7a"
"9","GO:0099055","integral component of postsynaptic membrane",163,5,1.32,14,0.01055,0.01055,"Cacng7,Grin2a,Slc16a7,Slc6a8,Slc6a9"
"10","GO:0005794","Golgi apparatus",1353,19,10.97,16,0.0128,0.0128,"1810055G02Rik,Cat,Cpd,Dhcr24,Fig4,Naa60,Ndst3,Ngfr,Ptgfrn,Rab18,Raf1,Snca,Sppl2b,Tmem230,Tpp1,Uhmk1,Usp6nl,Zdhhc4,Zdhhc9"
"11","GO:0098936","intrinsic component of postsynaptic membrane",172,5,1.39,17,0.01308,0.01308,"Cacng7,Grin2a,Slc16a7,Slc6a8,Slc6a9"
"12","GO:0005783","endoplasmic reticulum",1465,20,11.87,18,0.01425,0.01425,"Acsl4,Cat,Dhcr24,Elovl2,Erg28,Fig4,Fndc4,Fndc5,Gpr37,Grin2a,Hsd17b7,Ngfr,Ppib,Ptgfrn,Rab18,Sec61a1,Snca,Tmem230,Zdhhc4,Zdhhc9"
"13","GO:0005903","brush border",121,4,0.98,20,0.01691,0.01691,"Pik3cb,Plec,Prkcb,Slc38a2"
"14","GO:0099061","integral component of postsynaptic density membrane",70,3,0.57,22,0.0192,0.0192,"Cacng7,Grin2a,Slc16a7"
"15","GO:0005942","phosphatidylinositol 3-kinase complex",27,2,0.22,23,0.02005,0.02005,"Pik3cb,Socs2"
"16","GO:0098984","neuron to neuron synapse",423,8,3.43,24,0.02191,0.02191,"Arrb1,Cacng7,Grin2a,Igsf9b,Ngfr,Slc16a7,Slc6a9,Srgap2"
"17","GO:0099572","postsynaptic specialization",427,8,3.46,25,0.02302,0.02302,"Arrb1,Cacng7,Grin2a,Igsf9b,Ngfr,Slc16a7,Slc6a9,Srgap2"
"18","GO:0099146","intrinsic component of postsynaptic density membrane",76,3,0.62,26,0.02382,0.02382,"Cacng7,Grin2a,Slc16a7"
"19","GO:0043235","receptor complex",357,7,2.89,28,0.02632,0.02632,"Cacng7,Epha3,Gpr37,Grin2a,Irs1,Itga4,Kctd12"
"20","GO:0005811","lipid droplet",81,3,0.66,29,0.02808,0.02808,"Acsl4,Fig4,Rab18"
"21","GO:0098805","whole membrane",1089,15,8.83,30,0.03041,0.03041,"Acsl4,Angpt1,Cat,Fig4,Gpm6b,Irs1,Ncdn,Ngfr,Rragd,Sec61a1,Slc25a46,Slc6a9,Snca,Sppl2b,Tpp1"
"22","GO:0005791","rough endoplasmic reticulum",85,3,0.69,32,0.03176,0.03176,"Ngfr,Sec61a1,Snca"
"23","GO:0043195","terminal bouton",86,3,0.7,33,0.03272,0.03272,"Grin2a,Snca,Tnn"
"24","GO:0099699","integral component of synaptic membrane",220,5,1.78,34,0.03349,0.03349,"Cacng7,Grin2a,Slc16a7,Slc6a8,Slc6a9"
"25","GO:0005768","endosome",842,12,6.82,35,0.04067,0.04067,"Arrb1,Cacng7,Dync1li2,Epha3,Fig4,Ncdn,Praf2,Rragd,Slc6a9,Sppl2b,Tmem230,Tpp1"
"26","GO:0014069","postsynaptic density",394,7,3.19,36,0.04146,0.04146,"Arrb1,Cacng7,Grin2a,Ngfr,Slc16a7,Slc6a9,Srgap2"
"27","GO:0098793","presynapse",569,9,4.61,37,0.04195,0.04195,"Cntnap1,Epha3,Grin2a,Kctd12,Prkcb,Slc6a9,Snca,Tmem230,Tnn"
"28","GO:1902911","protein kinase complex",96,3,0.78,38,0.04312,0.04312,"Ccnt2,Cnppd1,Irs1"
"29","GO:0098839","postsynaptic density membrane",96,3,0.78,39,0.04312,0.04312,"Cacng7,Grin2a,Slc16a7"
"30","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",41,2,0.33,40,0.04352,0.04352,"Ccnt2,Cnppd1"
"31","GO:0032279","asymmetric synapse",399,7,3.23,41,0.04386,0.04386,"Arrb1,Cacng7,Grin2a,Ngfr,Slc16a7,Slc6a9,Srgap2"
"32","GO:0099240","intrinsic component of synaptic membrane",238,5,1.93,42,0.04449,0.04449,"Cacng7,Grin2a,Slc16a7,Slc6a8,Slc6a9"
"33","GO:0099060","integral component of postsynaptic specialization membrane",99,3,0.8,43,0.04653,0.04653,"Cacng7,Grin2a,Slc16a7"
"34","GO:0098802","plasma membrane signaling receptor complex",171,4,1.39,44,0.05047,0.05047,"Cacng7,Grin2a,Irs1,Itga4"
"35","GO:0005730","nucleolus",776,11,6.29,45,0.05055,0.05055,"Atxn3,Bmt2,Hus1,Mllt1,Nhp2,Parp1,Pik3cb,Spata2,Taf13,Ublcp1,Zmat3"
"36","GO:0098862","cluster of actin-based cell projections",174,4,1.41,47,0.05317,0.05317,"Pik3cb,Plec,Prkcb,Slc38a2"
"37","GO:0098948","intrinsic component of postsynaptic specialization membrane",105,3,0.85,48,0.05373,0.05373,"Cacng7,Grin2a,Slc16a7"
"38","GO:0098686","hippocampal mossy fiber to CA3 synapse",47,2,0.38,49,0.05562,0.05562,"Slc16a7,Slc6a9"
"39","GO:0031967","organelle envelope",986,13,7.99,50,0.05665,0.05665,"Acsl4,Atxn3,Cat,Epha3,Ipo11,Lyrm7,Ngfr,Parp1,Sh3bgrl2,Slc25a15,Slc25a46,Snca,Srgap2"
"40","GO:0031975","envelope",986,13,7.99,51,0.05665,0.05665,"Acsl4,Atxn3,Cat,Epha3,Ipo11,Lyrm7,Ngfr,Parp1,Sh3bgrl2,Slc25a15,Slc25a46,Snca,Srgap2"
"41","GO:0030424","axon",697,10,5.65,52,0.05695,0.05695,"Cacng7,Cntnap1,Grin2a,Itga4,Prkcb,Scn7a,Slc38a2,Snca,Tnn,Uhmk1"
"42","GO:0005654","nucleoplasm",3117,33,25.26,53,0.05719,0.05719,"AW549877,Arrb1,Atxn3,Ccnt2,Cdk19,Cry2,Epha3,Fam131b,Ipo11,Irs1,Kmt5a,Mknk1,Mllt1,Nacc1,Nfia,Parp1,Pde4a,Pik3cb,Pole4,Ppib,Prkcb,Raf1,Rnf38,Rragd,Sh3bgrl2,Spata2,Sppl2b,Srgap2,Taf13,Ublcp1,Uhmk1,Zbtb4,Zmat3"
"43","GO:0036477","somatodendritic compartment",988,13,8.01,54,0.05739,0.05739,"Acsl4,Arrb1,Cacng7,Grin2a,Igsf9b,Itga4,Ncdn,Ngfr,Slc38a2,Snca,Srgap2,Tnn,Uhmk1"
"44","GO:0043679","axon terminus",183,4,1.48,56,0.06172,0.06172,"Grin2a,Prkcb,Snca,Tnn"
"45","GO:0035861","site of double-strand break",51,2,0.41,57,0.06425,0.06425,"Hus1,Parp1"
"46","GO:0008023","transcription elongation factor complex",52,2,0.42,58,0.06648,0.06648,"Ccnt2,Mllt1"
"47","GO:0008328","ionotropic glutamate receptor complex",54,2,0.44,59,0.07101,0.07101,"Cacng7,Grin2a"
"48","GO:0009925","basal plasma membrane",54,2,0.44,60,0.07101,0.07101,"Plec,Slc6a9"
"49","GO:0042734","presynaptic membrane",194,4,1.57,62,0.0731,0.0731,"Cntnap1,Grin2a,Kctd12,Slc6a9"
"50","GO:0098878","neurotransmitter receptor complex",56,2,0.45,63,0.07563,0.07563,"Cacng7,Grin2a"
"51","GO:0030056","hemidesmosome",10,1,0.08,64,0.07818,0.07818,"Plec"
"52","GO:0002178","palmitoyltransferase complex",10,1,0.08,65,0.07818,0.07818,"Zdhhc9"
"53","GO:0044306","neuron projection terminus",204,4,1.65,66,0.08431,0.08431,"Grin2a,Prkcb,Snca,Tnn"
"54","GO:0034663","endoplasmic reticulum chaperone complex",11,1,0.09,67,0.08565,0.08565,"Ppib"
"55","GO:1990454","L-type voltage-gated calcium channel complex",11,1,0.09,68,0.08565,0.08565,"Cacng7"
"56","GO:0098553","lumenal side of endoplasmic reticulum membrane",11,1,0.09,69,0.08565,0.08565,"Sppl2b"
"57","GO:0071556","integral component of lumenal side of endoplasmic reticulum membrane",11,1,0.09,70,0.08565,0.08565,"Sppl2b"
"58","GO:0099634","postsynaptic specialization membrane",130,3,1.05,71,0.08893,0.08893,"Cacng7,Grin2a,Slc16a7"
"59","GO:0042579","microbody",130,3,1.05,72,0.08893,0.08893,"Acsl4,Cat,Fndc5"
"60","GO:0005777","peroxisome",130,3,1.05,73,0.08893,0.08893,"Acsl4,Cat,Fndc5"
"61","GO:0017146","NMDA selective glutamate receptor complex",12,1,0.1,75,0.09307,0.09307,"Grin2a"
"62","GO:0042405","nuclear inclusion body",12,1,0.1,76,0.09307,0.09307,"Atxn3"
"63","GO:0031526","brush border membrane",65,2,0.53,77,0.09754,0.09754,"Pik3cb,Prkcb"
"64","GO:0031981","nuclear lumen",3737,37,30.29,78,0.09992,0.09992,"AW549877,Arrb1,Atxn3,Bmt2,Ccnt2,Cdk19,Cry2,Epha3,Esrrg,Fam131b,Hus1,Ipo11,Irs1,Kmt5a,Mknk1,Mllt1,Nacc1,Nfia,Nhp2,Parp1,Pde4a,Pik3cb,Pole4,Ppib,Prkcb,Raf1,Rnf38,Rragd,Sh3bgrl2,Spata2,Sppl2b,Srgap2,Taf13,Ublcp1,Uhmk1,Zbtb4,Zmat3"
"65","GO:0019908","nuclear cyclin-dependent protein kinase holoenzyme complex",13,1,0.11,79,0.10043,0.10043,"Ccnt2"
"66","GO:0098576","lumenal side of membrane",13,1,0.11,80,0.10043,0.10043,"Sppl2b"
"67","GO:0031091","platelet alpha granule",13,1,0.11,81,0.10043,0.10043,"Snca"
"68","GO:0005635","nuclear envelope",394,6,3.19,82,0.10127,0.10127,"Epha3,Ipo11,Ngfr,Parp1,Sh3bgrl2,Snca"
"69","GO:0031410","cytoplasmic vesicle",1724,19,13.97,83,0.10244,0.10244,"Arrb1,Cacng7,Dync1li2,Epha3,Erg28,Fig4,Grin2a,Ncdn,Ngfr,Praf2,Rragd,Sec61a1,Slc6a9,Snca,Sppl2b,Srgap2,Tmem230,Tpp1,Usp6nl"
"70","GO:0097708","intracellular vesicle",1730,19,14.02,84,0.10505,0.10505,"Arrb1,Cacng7,Dync1li2,Epha3,Erg28,Fig4,Grin2a,Ncdn,Ngfr,Praf2,Rragd,Sec61a1,Slc6a9,Snca,Sppl2b,Srgap2,Tmem230,Tpp1,Usp6nl"
"71","GO:0033391","chromatoid body",14,1,0.11,85,0.10772,0.10772,"Piwil2"
"72","GO:0005671","Ada2/Gcn5/Ada3 transcription activator complex",14,1,0.11,86,0.10772,0.10772,"Pole4"
"73","GO:0031982","vesicle",1850,20,14.99,87,0.10992,0.10992,"Arrb1,Cacng7,Dync1li2,Epha3,Erg28,Fig4,Grin2a,Itga4,Ncdn,Ngfr,Praf2,Rragd,Sec61a1,Slc6a9,Snca,Sppl2b,Srgap2,Tmem230,Tpp1,Usp6nl"
"74","GO:0090734","site of DNA damage",70,2,0.57,88,0.11039,0.11039,"Hus1,Parp1"
"75","GO:0043025","neuronal cell body",696,9,5.64,89,0.11241,0.11241,"Acsl4,Cacng7,Igsf9b,Itga4,Ncdn,Ngfr,Slc38a2,Snca,Tnn"
"76","GO:0070013","intracellular organelle lumen",4127,40,33.45,90,0.113,0.113,"AW549877,Arrb1,Atxn3,Bmt2,Cat,Ccnt2,Cdk19,Cry2,Epha3,Esrrg,Fam131b,Hus1,Ipo11,Irs1,Kmt5a,Lyrm7,Mknk1,Mllt1,Nacc1,Nfia,Nhp2,Parp1,Pde4a,Pik3cb,Pole4,Ppib,Prkcb,Raf1,Rnf38,Rragd,Sh3bgrl2,Snca,Spata2,Sppl2b,Srgap2,Taf13,Ublcp1,Uhmk1,Zbtb4,Zmat3"
