"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0009897","external side of plasma membrane",307,11,2.85,8,0.00014,0.00014,"Ace,Car4,Cd9,Cxcr4,Dlk1,Ece1,Itga5,Itgav,Itgb1,Mcam,Sdc1"
"2","GO:0005615","extracellular space",1059,25,9.83,5,0.00022,1.4e-05,"Ace,Btd,Car4,Cd9,Cthrc1,Dlk1,Ecm1,Fst,Gal,Hpgd,Lipg,Mcam,Metrnl,Mmel1,Nbl1,Nppc,Ramp1,Smoc1,Smoc2,Susd2,Tgfb2,Tnfsf9,Vasn,Wnt4,Wnt7b"
"3","GO:0008305","integrin complex",33,4,0.31,9,0.00024,0.00024,"Itga5,Itgav,Itgb1,Pmp22"
"4","GO:0005604","basement membrane",109,6,1.01,13,0.00053,0.00053,"Itgb1,Pmp22,Smoc1,Smoc2,Tgfb2,Vwa1"
"5","GO:0031012","extracellular matrix",447,16,4.15,3,0.00076,4.1e-06,"Adamts14,Anxa11,Coch,Cthrc1,Ecm1,Emilin2,Itgb1,Mmp10,Pmp22,Smoc1,Smoc2,Tgfb2,Tgm2,Vasn,Vwa1,Wnt4"
"6","GO:0005886","plasma membrane",4055,61,37.63,6,0.00114,1.9e-05,"Ace,Adra1d,Baiap3,Blnk,Car4,Cavin3,Cd9,Cdh23,Cdhr1,Celsr1,Cxcr4,Dlk1,Ece1,Fxyd1,Gabre,Gabrq,Gpr153,Hpgd,Htr5b,Itga5,Itgav,Itgb1,Jam2,Kcna5,Kcnh3,Kcnh4,Llgl2,Lrp5,Mcam,Nfkbia,Pdlim4,Pdyn,Pik3r5,Plce1,Plekha2,Plxdc1,Plxnb1,Pmp22,Podxl,Prkcd,Pstpip1,Qrfpr,Ramp1,Rasal1,Rasd1,Rasgrf1,Rasl10a,Rhoc,Sdc1,Spint2,Steap3,Susd2,Tgm2,Tm4sf1,Tnfsf9,Trabd2b,Trp53i13,Tspan15,Vamp8,Vasn,Wnt7b"
"7","GO:0009986","cell surface",745,22,6.91,2,0.00166,1.5e-06,"Ace,Car4,Cd9,Cxcr4,Dlk1,Ece1,Itga5,Itgav,Itgb1,Jam2,Kcna5,Lipg,Mcam,Pmp22,Ramp1,Sdc1,Tgfb2,Tspan15,Vamp8,Vasn,Wnt4,Wnt7b"
"8","GO:0016021","integral component of membrane",3891,55,36.11,12,0.00172,0.00036,"Ace,Adra1d,B3gnt4,Cd9,Cdh23,Cdhr1,Celsr1,Chst8,Cxcr4,Dlk1,Ece1,Fxyd1,Gabre,Gabrq,Galnt16,Gpr153,Hrk,Htr5b,Itga5,Itgav,Itgb1,Jam2,Kcna5,Kcnh3,Kcnh4,Lrp5,Mcam,Mcub,Mest,Mmel1,Nynrin,Plekhb1,Plpp4,Plxdc1,Plxnb1,Pmp22,Podxl,Qrfpr,Ramp1,Scarf2,Sdc1,Slc12a4,Spint2,Steap3,Susd2,Tm4sf1,Tmem215,Tmie,Tnfsf9,Trabd2b,Trp53i11,Trp53i13,Tspan15,Vamp8,Vasn"
"9","GO:0099524","postsynaptic cytosol",26,3,0.24,16,0.00174,0.00174,"Aldoc,Hap1,Prkcd"
"10","GO:0031253","cell projection membrane",277,8,2.57,23,0.00436,0.00436,"Ace,Car4,Cdhr1,Gabre,Itga5,Itgav,Itgb1,Podxl"
"11","GO:0070062","extracellular exosome",74,4,0.69,24,0.00496,0.00496,"Ace,Car4,Cd9,Vasn"
"12","GO:0042582","azurophil granule",12,2,0.11,26,0.00531,0.00531,"Anxa11,Vamp8"
"13","GO:0044291","cell-cell contact zone",84,4,0.78,30,0.00774,0.00774,"Fxyd1,Itgb1,Jam2,Kcna5"
