"","GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"1","GO:0019956","chemokine binding",20,3,0.18,4,0.00078,0.00078,"Cxcr4,Itgav,Itgb1"
"2","GO:0005184","neuropeptide hormone activity",20,3,0.18,5,0.00078,0.00078,"Gal,Nppc,Pdyn"
"3","GO:0004222","metalloendopeptidase activity",95,5,0.87,8,0.00184,0.00184,"Adamts14,Ece1,Mmel1,Mmp10,Trabd2b"
"4","GO:0017147","Wnt-protein binding",27,3,0.25,9,0.0019,0.0019,"Cthrc1,Lrp5,Trabd2b"
"5","GO:0050840","extracellular matrix binding",57,6,0.52,1,0.002,1.4e-05,"Ecm1,Itgav,Itgb1,Plekha2,Smoc1,Smoc2"
"6","GO:0004930","G protein-coupled receptor activity",306,9,2.82,10,0.00212,0.00212,"Adra1d,Celsr1,Cxcr4,Gal,Gpr153,Hpgd,Htr5b,Qrfpr,Ramp1"
"7","GO:0043236","laminin binding",29,3,0.27,12,0.00234,0.00234,"Ecm1,Itgb1,Plekha2"
"8","GO:0001968","fibronectin binding",29,3,0.27,13,0.00234,0.00234,"Itgav,Itgb1,Plekha2"
"9","GO:0008200","ion channel inhibitor activity",32,3,0.29,15,0.00312,0.00312,"Kcna5,Mcub,Vamp8"
"10","GO:0017022","myosin binding",70,4,0.64,21,0.00395,0.00395,"Cxcr4,Fxyd1,Hap1,Llgl2"
"11","GO:0005109","frizzled binding",39,3,0.36,23,0.00548,0.00548,"Cthrc1,Wnt4,Wnt7b"
"12","GO:0005178","integrin binding",125,5,1.15,25,0.00598,0.00598,"Cd9,Itga5,Itgav,Itgb1,Jam2"
"13","GO:0051019","mitogen-activated protein kinase binding",41,3,0.38,26,0.00631,0.00631,"Ace,Mapkapk3,Nfatc1"
"14","GO:0051393","alpha-actinin binding",28,4,0.26,2,0.00695,0.00012,"Itgb1,Kcna5,Pdlim1,Pdlim4"
"15","GO:0051371","muscle alpha-actinin binding",14,2,0.13,27,0.00712,0.00712,"Pdlim1,Pdlim4"
"16","GO:0004890","GABA-A receptor activity",16,2,0.15,28,0.00928,0.00928,"Gabre,Gabrq"
"17","GO:0031434","mitogen-activated protein kinase kinase binding",19,2,0.17,31,0.01299,0.01299,"Ace,Trib1"
"18","GO:0008528","G protein-coupled peptide receptor activity",102,4,0.94,34,0.01461,0.01461,"Cxcr4,Gal,Qrfpr,Ramp1"
"19","GO:0005200","structural constituent of cytoskeleton",58,3,0.53,36,0.01631,0.01631,"Arpc1b,Tpm2,Tubb6"
"20","GO:0001653","peptide receptor activity",107,4,0.98,37,0.01713,0.01713,"Cxcr4,Gal,Qrfpr,Ramp1"
"21","GO:0019901","protein kinase binding",704,15,6.48,11,0.01714,0.00213,"Ace,Blnk,Cavin3,Itgav,Itgb1,Kcna5,Mapkapk3,Nfatc1,Prkcd,Rasgrf1,Rhoc,Slc12a4,Ticam1,Trib1,Trim21"
"22","GO:0015026","coreceptor activity",22,2,0.2,38,0.01723,0.01723,"Lrp5,Ramp1"
"23","GO:0004683","calmodulin-dependent protein kinase activity",24,2,0.22,40,0.02035,0.02035,"Mapkapk3,Mylk3"
"24","GO:0005509","calcium ion binding",541,10,4.98,43,0.02803,0.02803,"Anxa11,Baiap3,Cdh23,Cdhr1,Celsr1,Dlk1,Rcn1,Smoc1,Smoc2,Tgm2"
"25","GO:0022843","voltage-gated cation channel activity",129,4,1.19,44,0.03136,0.03136,"Itgav,Kcna5,Kcnh3,Kcnh4"
"26","GO:0030545","receptor regulator activity",355,10,3.27,7,0.03244,0.00167,"Fst,Gal,Metrnl,Nbl1,Nppc,Pdyn,Tgfb2,Tnfsf9,Wnt4,Wnt7b"
"27","GO:0008188","neuropeptide receptor activity",31,2,0.29,45,0.03288,0.03288,"Gal,Qrfpr"
"28","GO:0003779","actin binding",405,8,3.73,47,0.03387,0.03387,"Ace,Arpc1b,Cxcr4,Itgb1,Pdlim1,Pdlim4,Pstpip1,Tpm2"
"29","GO:0008227","G protein-coupled amine receptor activity",32,2,0.29,48,0.03486,0.03486,"Adra1d,Htr5b"
